StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q7,Q11,Q13,Q14_1,Q14_2,Q14_3,Q15_1,Q15_2,Q15_3,Q15_4,Q16_1,Q16_2,Q16_3,MTurkCode
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What is your age?,Are you:,"In the last week (most recent seven days), about how many times did you eat: - Beef","In the last week (most recent seven days), about how many times did you eat: - Pork/Pork products","In the last week (most recent seven days), about how many times did you eat: - Poultry or Fish","In the last week (most recent seven days), about how many times did you eat: - Vegetable Protein (such as Tofu)","In the last week (most recent seven days), about how many times did you eat: - Root vegetables (such as carrots)","In the last week (most recent seven days), about how many times did you eat: - Green/Leafy vegetables","Considering the entire content of the video, was it mostly about:","Considering the entire content of the video, was it mostly about:","Considering the entire content of the video, was it mostly about:","Governments sometimes use taxpayer-funded programs to support farming.  For the items below, do you believe it is appropriate for government to pay for: - Scientific research to improve livestock breeds","Governments sometimes use taxpayer-funded programs to support farming.  For the items below, do you believe it is appropriate for government to pay for: - Construction of dams and canals for agricultural water","Governments sometimes use taxpayer-funded programs to support farming.  For the items below, do you believe it is appropriate for government to pay for: - Developing new forms of machinery, such as self-driving tractors","Cooking methods:

In the coming month (next 30 days), about how many times do you expect to eat the foods prepared as shown below (either by cooking them at home, while visiting friends or family, or while eating in restaurants)? - Root Vegetables by baking or roasting","Cooking methods:

In the coming month (next 30 days), about how many times do you expect to eat the foods prepared as shown below (either by cooking them at home, while visiting friends or family, or while eating in restaurants)? - Beef by grilling or broiling","Cooking methods:

In the coming month (next 30 days), about how many times do you expect to eat the foods prepared as shown below (either by cooking them at home, while visiting friends or family, or while eating in restaurants)? - Fish or poultry by frying","Cooking methods:

In the coming month (next 30 days), about how many times do you expect to eat the foods prepared as shown below (either by cooking them at home, while visiting friends or family, or while eating in restaurants)? - Beef by baking or roasting","After your results are reviewed and found satisfactory, you may be eligible for a bonus in addition to the standard reward.     You may receive your bonus as an additional $1.00.   Or you may choose to spend any amount of the bonus in a drawing for two $50.00 gift cards.  (One for Omaha Steaks, and one for Harry and David's gift baskets.)   Each dollar put into the drawing has at least a 1-in-40 chance of winning a card (so each penny put  into the drawing has at least a 1-in-4000 chance of winning.)   You may split the bonus in any proportion of cash and drawing entries.   Win or lose, the amount you enter into the drawing will be deducted from the cash bonus.   

Bonuses will be paid (and drawing winners notified) no later than March 31, 2018.  Drawing winners will be notified via the bonus-reason message, and will be given an email contact to arrange for mailing of the gift card. - Amount in cash (in pennies)","After your results are reviewed and found satisfactory, you may be eligible for a bonus in addition to the standard reward.     You may receive your bonus as an additional $1.00.   Or you may choose to spend any amount of the bonus in a drawing for two $50.00 gift cards.  (One for Omaha Steaks, and one for Harry and David's gift baskets.)   Each dollar put into the drawing has at least a 1-in-40 chance of winning a card (so each penny put  into the drawing has at least a 1-in-4000 chance of winning.)   You may split the bonus in any proportion of cash and drawing entries.   Win or lose, the amount you enter into the drawing will be deducted from the cash bonus.   

Bonuses will be paid (and drawing winners notified) no later than March 31, 2018.  Drawing winners will be notified via the bonus-reason message, and will be given an email contact to arrange for mailing of the gift card. - Amount (in pennies)  entered in Omaha Steaks gift card drawing","After your results are reviewed and found satisfactory, you may be eligible for a bonus in addition to the standard reward.     You may receive your bonus as an additional $1.00.   Or you may choose to spend any amount of the bonus in a drawing for two $50.00 gift cards.  (One for Omaha Steaks, and one for Harry and David's gift baskets.)   Each dollar put into the drawing has at least a 1-in-40 chance of winning a card (so each penny put  into the drawing has at least a 1-in-4000 chance of winning.)   You may split the bonus in any proportion of cash and drawing entries.   Win or lose, the amount you enter into the drawing will be deducted from the cash bonus.   

Bonuses will be paid (and drawing winners notified) no later than March 31, 2018.  Drawing winners will be notified via the bonus-reason message, and will be given an email contact to arrange for mailing of the gift card. - Amount (in pennies) entered in Harry and David's gift card drawing",MTurkCode
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID3_2""}","{""ImportId"":""QID3_3""}","{""ImportId"":""QID3_4""}","{""ImportId"":""QID3_5""}","{""ImportId"":""QID3_6""}","{""ImportId"":""QID5""}","{""ImportId"":""QID11""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14_1""}","{""ImportId"":""QID14_2""}","{""ImportId"":""QID14_3""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID15_2""}","{""ImportId"":""QID15_3""}","{""ImportId"":""QID15_4""}","{""ImportId"":""QID16_1""}","{""ImportId"":""QID16_2""}","{""ImportId"":""QID16_3""}","{""ImportId"":""MTurkCode""}"
2018-03-19 11:46:46,2018-03-19 11:50:23,IP Address,134.41.116.144,100,216,True,2018-03-19 11:50:24,R_2DUf3znBi3BA5Aa,,,,,45.366806030273,-63.265403747559,anonymous,EN,23,Male,1,1,5,,1,4,Use of animals in farming,,,Agree,Strongly Agree,Agree,11,17,15,10,100,0,0,2792126573
2018-03-19 11:50:59,2018-03-19 11:54:24,IP Address,192.0.224.99,100,204,True,2018-03-19 11:54:24,R_1LXQwe9nupRmwEw,,,,,45.540100097656,-73.622497558594,anonymous,EN,34,Female,0,3,7,2,4,6,,Use of animals in farming,,Neutral/no opinion,Neutral/no opinion,Neutral/no opinion,12,,2,,100,0,0,3382092961
2018-03-19 11:54:32,2018-03-19 11:57:33,IP Address,64.40.249.166,100,180,True,2018-03-19 11:57:33,R_2EbEamysB5DHdyQ,,,,,43.794204711914,-79.702102661133,anonymous,EN,26,Female,1,2,3,2,5,26,,Use of animals in farming,,Neutral/no opinion,Agree,Strongly Agree,0,1,1,0,100,0,0,1632969882
2018-03-19 11:53:33,2018-03-19 11:58:03,IP Address,99.242.243.189,100,269,True,2018-03-19 11:58:03,R_2s78IOzdJPDMOk9,,,,,43.738998413086,-79.469200134277,anonymous,EN,29,Male,3,1,2,0,6,3,Use of animals in farming,,,Agree,Strongly Agree,Agree,10,10,10,5,100,0,0,2324334466
2018-03-19 12:13:38,2018-03-19 12:19:47,IP Address,162.129.251.32,100,369,True,2018-03-19 12:19:48,R_1CIOCC48zZiQ6sT,,,,,39.305404663086,-76.551902770996,anonymous,EN,27,Male,2,13,2,2,2,17,,,Use of water in farming,Agree,Agree,Agree,8,5,6,5,100,0,0,6295913169
2018-03-19 12:21:48,2018-03-19 12:27:28,IP Address,162.208.166.197,100,340,True,2018-03-19 12:27:29,R_3FXKZBfnX30mslG,,,,,53.460906982422,-113.45189666748,anonymous,EN,31,Male,,,7,,,,Use of animals in farming,,,Agree,Agree,Agree,,0,0,0,100,0,0,2363164969
2018-03-19 12:31:20,2018-03-19 12:34:35,IP Address,138.119.194.249,100,195,True,2018-03-19 12:34:36,R_3PTflfS5LBqZP9i,,,,,45.271697998047,-66.058403015137,anonymous,EN,21,Male,8,11,11,0,7,3,,Use of animals in farming,,Agree,Neutral/no opinion,Strongly Agree,27,9,0,11,100,0,0,3502621129
2018-03-19 12:40:07,2018-03-19 12:47:12,IP Address,174.113.177.123,100,424,True,2018-03-19 12:47:13,R_2zr2ycCFJr1zbjB,,,,,43.843200683594,-79.564399719238,anonymous,EN,30,Female,30,,15,0,10,5,,,Use of water in farming,Agree,Agree,Agree,20,4,2,5,0,50,50,731295207
